名前,ふりがな,アドレス,性別,年齢,誕生日,都道府県,カレーの食べ方
亀山 ケンイチ,かめやま けんいち,kameyama_kenichi@example.com,M,67,1950/5/6,埼玉県,左ルー・せき止め派
中原 育子,なかはら いくこ,nakahara_ikuko@example.com,F,39,1977/11/24,千葉県,右ルー・混ぜ混ぜ派
白石 誠治,しらいし せいじ,shiraishi_seiji@example.com,M,44,1972/9/21,三重県,右ルー・別口派
船橋 佑,ふなばし たすく,funabashi_tasuku@example.com,M,36,1980/7/11,茨城県,左ルー・別口派
岡島 璃子,おかじま りこ,okajima_riko@example.com,F,24,1992/11/24,福岡県,ぶっかけ・せき止め派
遠山 えみ,とおやま えみ,tooyama_emi@example.com,F,28,1989/3/24,茨城県,左ルー・ルー攻め派
山根 晃司,やまね こうじ,yamane_kouji@example.com,M,28,1988/8/7,福島県,手前ルー・別口派
小島 遥,こじま はるか,kojima_haruka@example.com,F,64,1953/4/15,千葉県,左ルー・ナン派
笹川 ヒロ,ささがわ ひろ,sasagawa_hiro@example.com,M,80,1937/1/23,北海道,奥ルー・せき止め派
宍戸 光博,ししど みつひろ,shishido_mitsuhiro@example.com,M,56,1961/6/4,神奈川県,右ルー・せき止め派
大津 誠治,おおつ せいじ,ootsu_seiji@example.com,M,69,1948/4/14,広島県,ぶっかけ・ルー攻め派
玉田 麻由子,たまだ まゆこ,tamada_mayuko@example.com,F,22,1994/8/2,岐阜県,手前ルー・せき止め派
岡田 莉沙,おかだ りさ,okada_risa@example.com,F,35,1981/10/14,山形県,ぶっかけ・別口派
杉原 法嗣,すぎはら ほうし,sugihara_houshi@example.com,M,55,1961/11/16,北海道,左ルー・ルー攻め派
前田 隼士,まえだ しゅんじ,maeda_shunji@example.com,M,31,1986/4/29,千葉県,左ルー・ルー攻め派
本多 鉄二,ほんだ てつじ,honnda_tetsuji@example.com,M,21,1995/8/30,長野県,ぶっかけ・混ぜ混ぜ派
梅村 里穂,うめむら りほ,umemura_riho@example.com,F,62,1955/5/28,愛媛県,ぶっかけ・せき止め派
永山 博之,ながやま ひろゆき,nagayama_hiroyuki@example.com,M,53,1963/10/9,大阪府,右ルー・せき止め派
細谷 しぼり,ほそや しぼり,hosoya_shibori@example.com,F,37,1979/8/12,長崎県,ぶっかけ・せき止め派
岩沢 恵美,いわさわ めぐみ,iwasawa_megumi@example.com,F,40,1976/8/8,福島県,左ルー・別口派
関口 りえ,せきぐち りえ,sekiguchi_rie@example.com,F,66,1950/12/7,東京都,奥ルー・混ぜ混ぜ派
玉山 華子,たまやま はなこ,tamayama_hanako@example.com,F,73,1943/8/27,福岡県,左ルー・別口派
竹内 明宏,たけうち あきひろ,takeuchi_akihiro@example.com,M,39,1978/4/10,愛媛県,別盛り・せき止め派
木村 兼,きむら けん,kimura_ken@example.com,M,32,1984/8/5,静岡県,奥ルー・せき止め派
大川 まひる,おおかわ まひる,ookawa_mahiru@example.com,F,45,1972/3/26,長野県,ぶっかけ・せき止め派
佐久間 洋,さくま よう,sakuma_you@example.com,M,66,1950/7/27,岡山県,ぶっかけ・ルー攻め派
細井 怜奈,ほそい れいな,hosoi_reina@example.com,F,28,1989/3/9,兵庫県,ぶっかけ・せき止め派
田辺 裕次郎,たなべ ゆうじろう,tanabe_yuujirou@example.com,M,23,1994/2/7,神奈川県,右ルー・ナン派
尾形 きみまろ,おがた きみまろ,ogata_kimimaro@example.com,M,29,1988/3/16,埼玉県,ぶっかけ・ナン派
